gotu	covered_length	total_length	coverage_ratio	strain
G000296485	1318660	2143714	0.6151286972049443	Actinomyces neuii BVS029A5
G001553285	1303449	2096989	0.6215812290860848	Varibaculum cambriense DNF00696
G000430525	1282469	2800206	0.45799094780883975	Prevotella corporis DSM 18810 = JCM 8529 DSM 18810
G001307545	1275786	6254616	0.203975112141177	Mycobacterium fortuitum CT6
G000318135	1248510	2809576	0.4443766603928849	Corynebacterium durum F0235
G000420065	1248025	2022936	0.6169374611950156	Varibaculum cambriense DSM 15806
G001281505	1228583	1915154	0.6415061138686498	Lawsonella clevelandensis X1698
G001293125	1190079	1860551	0.6396379352138157	Lawsonella clevelandensis X1036
G001643095	1186979	7020557	0.16907191267017702	Methylobacterium populi CD11_7
G000010285	1185442	2697540	0.4394529830882953	Kocuria rhizophila DC2201
G000466245	1171486	3327711	0.35203958516830336	Actinomyces johnsonii F0542
G001553215	1167211	2355383	0.49555040517826615	Porphyromonas somerae KA00683
G000022905	1162188	2819226	0.41223655003181725	Corynebacterium aurimucosum ATCC 700975 ASM2290v1
G000818035	1157933	2256647	0.5131210153825565	Neisseria elongata subsp. glycolytica ATCC 29315 ASM81803v1
G000024945	1150251	2132142	0.5394814229071047	Veillonella parvula DSM 2008
G001606025	1149369	3349444	0.3431521768986136	Psychrobacter alimentarius PAMC 27889
G000204035	1141454	3369316	0.3387791468654172	Brevundimonas diminuta ATCC 11568
G000308275	1135615	1713902	0.6625903931496666	Levyella massiliensis 9403326
G000178455	1122033	2561804	0.43798549771957573	Brevibacterium mcbrellneri ATCC 49030
G000177075	1121131	3033961	0.3695271626761188	Prevotella buccalis ATCC 35310
G000156595	1120415	2809149	0.3988449882864882	Corynebacterium glucuronolyticum ATCC 51867
G000006605	1117912	2476822	0.45134935009459703	Corynebacterium jeikeium K411 K411 = NCTC 11915
G001543285	1112389	2199877	0.5056596346068439	Aerococcus viridans CCUG4311
G000375645	1109729	2023236	0.5484921185664945	Porphyromonas bennonis DSM 23058 = JCM 16335 DSM 23058
G000092025	1101835	5674258	0.1941813361324071	Agrobacterium fabrum str. C58
G001553335	1099742	2050442	0.536343871223863	Veillonella parvula DNF00876
G000311825	1093287	2101866	0.5201506661223884	Peptoniphilus grossensis ph5
G000511655	1091519	3066842	0.3559097599419859	Psychrobacter sp. TB15 PsyTB15_v1.0
G001729525	1076960	4209935	0.2558139258682141	Brevibacterium linens SMQ-1335
G000311985	1075222	1770670	0.6072401972134842	Kallipyga massiliensis ph2
G000261285	1070973	2101432	0.5096396171753357	Haemophilus parainfluenzae HK2019
G001679325	1069860	2129377	0.5024286446223473	Haemophilus parainfluenzae CCUG 62654
G000259485	1056141	2107814	0.501059865813587	Haemophilus parainfluenzae HK262
G001941945	1054220	5412463	0.1947763892335153	Roseomonas gilardii U14-5
G000763805	1050483	3358707	0.3127641083309738	Paracoccus sphaerophysae HAMBI 3106
G001063255	1043305	2578695	0.4045864284066165	Morococcus cerebrosus 379_NMEN
G001022195	1026123	7227285	0.14197904192238164	Klebsiella oxytoca CAV1374
G900113975	1022438	4889663	0.20910193606389643	Chryseobacterium indologenes DSM 16777
G001055885	1007959	1997176	0.5046921252808966	Haemophilus parainfluenzae 209_HPAR
G000154225	999008	2393958	0.4173038958912395	Actinomyces odontolyticus ATCC 17982
G000024785	994076	5290012	0.1879156417792625	Gordonia bronchialis DSM 43247
G000157935	984437	3512473	0.28026891594611547	Prevotella copri DSM 18205
G000466165	959112	2366015	0.40537021109333626	Actinobaculum sp. oral taxon 183 str. F0552
G000017405	955878	5205777	0.18361869899536612	Ochrobactrum anthropi ATCC 49188
G000144405	951475	3168282	0.30031259843662905	Prevotella melaninogenica ATCC 25845
G000813765	948268	3407832	0.27826136969193316	Brevundimonas nasdae TPW30
G000248055	947356	4952979	0.19126994077705559	Gordonia sputi NBRC 100414
G001025175	945969	2269415	0.41683385365832165	Bifidobacterium breve DSM 20213 = JCM 1192 ASM102517v1
G001283625	929768	951382	0.9772814705344436	Escherichia coli 401686
G000019945	925290	5848997	0.1581963540073623	Methylobacterium populi BJ001
G001043915	924532	7425331	0.12451054370505503	Methylobacterium aquaticum DSM 16371
G001630765	921182	3505372	0.26279150971708565	Dietzia maris DSM 43672
G001908775	919333	5625449	0.1634239329162881	Xanthomonas gardneri ICMP 7383
G000262545	914262	2521238	0.36262423460220733	Prevotella bivia DSM 20514
G000159635	901080	2385784	0.3776871669857791	Corynebacterium lipophiloflavum DSM 44291
G001044245	898738	5710643	0.15737947548113235	Mycobacterium obuense DSM 44075
G000411375	883179	2722973	0.3243436493861673	Corynebacterium pyruviciproducens ATCC BAA-1742
G000187465	879934	1905984	0.46166914307780127	Streptococcus infantis ATCC 700779 ASM18746v1
G000833575	872677	2830519	0.308309889458435	Corynebacterium singulare IBS B52218
G000183565	855076	1836030	0.4657200590404296	Peptoniphilus harei ACS-146-V-Sch2b
G000175375	847810	2855988	0.2968534881799223	Corynebacterium matruchotii ATCC 14266
G000017005	844854	2196662	0.38460810083663305	Streptococcus gordonii str. Challis substr. CH1
G001310255	843131	3475610	0.24258504262561104	Brevundimonas sp. DS20 ASM131025v1
G001408335	831404	2999584	0.2771731013367187	Kocuria salsicia G1 isolate Kocuria salsicia
G000786195	820512	3779802	0.21707803742100776	Kocuria polaris CMS 76or
G000025085	809332	2658366	0.30444716792194904	Staphylococcus lugdunensis HKU09-01
G000186165	806792	2169437	0.3718900341424987	Neisseria mucosa C102
G000429225	804320	3531393	0.22776281201214366	Actinomyces dentalis DSM 19115
G000260275	798831	2454960	0.32539471111545604	Staphylococcus pettenkoferi VCU012
G001280145	790718	6957317	0.11365271986313115	Asanoa ferruginea NRRL B-16430
G000785515	773306	2188923	0.3532814996233307	Streptococcus salivarius NCTC 8618
G000378725	765105	1849203	0.4137485176046113	Peptoniphilus lacrimalis DSM 7455
G000315525	760450	5532579	0.13744946073070083	Sphingobium yanoikuyae ATCC 51230
G000465555	758389	4764584	0.15917213339086897	Pantoea dispersa EGD-AAK13
G001432245	755486	2822193	0.2676946615628343	Staphylococcus equorum KS1039
G000023145	752447	2446804	0.3075223843021345	Corynebacterium kroppenstedtii DSM 44385
G000007565	752328	6181873	0.12169903846293834	Pseudomonas putida KT2440
G000949895	752205	6298483	0.11942637616073584	Agrobacterium arsenijevicii KFB 330
G000311745	750952	2037171	0.3686249215210701	Anaerococcus obesiensis ph10
G000019725	739770	6899110	0.10722687419101884	Methylobacterium radiotolerans JCM 2831
G000056065	738417	1864998	0.39593447285198163	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002 ATCC 11842
G000160075	734299	2043439	0.3593447125164979	Abiotrophia defectiva ATCC 49176
G000526175	725932	5472264	0.13265661159622416	Xanthobacter sp. 126 ASM52617v1
G000421245	723161	3396505	0.2129132740861562	Serinicoccus marinus DSM 15273
G000758845	712469	1839502	0.3873162410261038	Tissierellia bacterium S7-1-4 04_NF40_HMP1634v01
G000006865	699629	2365589	0.2957525588764574	Lactococcus lactis subsp. lactis Il1403 IL1403
G000429265	697572	3420019	0.20396728790103213	Actinomyces gerencseriae DSM 6844
G001476195	695357	2296741	0.3027581255352693	Kocuria kristinae RSA28
G000694955	694221	4852316	0.1430700308883428	Lelliottia amnigena CHS 78
G000160675	693026	1947166	0.3559152121596207	Granulicatella adiacens ATCC 49175
G000024105	692398	1998633	0.34643578886168697	Anaerococcus prevotii DSM 20548
G000193395	692127	2937589	0.2356105636288807	Prevotella denticola F0289
G001708485	685901	6253326	0.10968578961020103	Pseudomonas fluorescens L228
G001021715	675488	3074987	0.21967182300282895	Dermacoccus sp. PE3 ASM102171v1
G000164675	657601	2153652	0.30534227442502315	Streptococcus parasanguinis ATCC 15912
G000246925	655673	1885265	0.3477882419712879	Peptoniphilus rhinitidis 1-13
G001941805	650881	3378307	0.19266484662287944	Acinetobacter junii 65
G000349845	641903	5696307	0.11268757108772402	Pseudomonas denitrificans ATCC 13867
G000240185	640895	5682322	0.11278751890512365	Klebsiella pneumoniae subsp. pneumoniae HS11286
G000277715	614176	3449360	0.17805505948929656	Pseudopropionibacterium propionicum F0230a
G001499755	610104	4638575	0.13152832497049202	Stenotrophomonas maltophilia isolate PierC1
G000648515	601726	5371331	0.11202549237795995	Citrobacter freundii CFNIH1
G000739895	598359	4327402	0.13827210876179288	Sphingomonas paucimobilis NBRC 13935
G900106855	598006	2283357	0.2618977233958597	Varibaculum sp. Marseille-P2802 PRJEB16532
G000312365	597773	2265938	0.2638081889266167	Anaerococcus provenciensis 9402080
G000007385	597048	4941439	0.12082472332452146	Xanthomonas oryzae pv. oryzae KACC 10331
G000191725	590684	1697099	0.3480551222998776	Anaerococcus prevotii ACS-065-V-Col13
G001698225	589004	5701501	0.10330683095556767	Gordonia terrae 3612
G000187005	581185	2355186	0.24676819580279435	Thermus scotoductus SA-01
G000368905	565583	3195486	0.17699436016931383	Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788
G000180175	563104	4092852	0.13758230202313693	Plautia stali symbiont ASM18017v2
G001709315	557769	5115241	0.10904061020780839	Pantoea agglomerans C410P1
G000184435	555353	5783292	0.09602714163490275	Mycobacterium gilvum Spyr1
G001558935	550797	5083867	0.10834213404874675	Citrobacter amalonaticus FDAARGOS_165
G001936235	546366	1672949	0.326588557092894	Lactobacillus jensenii SNUV360
G000613345	540437	2797134	0.1932109795240414	Prevotella disiens JCM 6334 = ATCC 29426 JCM 6334
G001456215	539833	2709797	0.19921529177277855	Staphylococcus aureus MS4
G001548015	538243	7557960	0.0712153808699702	Methylobacterium aquaticum MA-22A
G001605965	535669	6301761	0.08500306501627085	Pseudomonas koreensis D26
G000155915	535375	1746219	0.3065909831470165	Lactobacillus jensenii 1153
G000687875	525326	3403931	0.15432921525142548	Acidocella facilis ATCC 35904
G000523235	524081	8348532	0.06277522802811321	Nocardia nova SH22a
G000466805	521616	1759880	0.29639293588199195	Lactobacillus jensenii MD IIE-70(2)
G000023405	518328	3614992	0.1433828899206416	Brachybacterium faecium DSM 4810
G000422165	514407	2225962	0.23109424150097801	Lactobacillus helveticus CNRZ32
G000215745	507555	5280350	0.09612146922079029	Enterobacter aerogenes KCTC 2190
G000633215	507250	3617767	0.1402107985395411	Microbacterium paraoxydans DH1b
G001758345	502428	2951447	0.17023107648553404	Acinetobacter towneri 5-2Ac02
G000463355	499956	1996214	0.2504521058363482	Streptococcus intermedius B196
G000025565	499261	5598796	0.08917292217826833	Enterobacter cloacae subsp. cloacae ATCC 13047
G000379865	498613	5082325	0.09810726389988834	Mycobacterium hassiacum DSM 44199 ASM37986v1
G001428305	497063	3637840	0.13663685043872187	Janibacter sp. Soil728 Soil728
G000175035	495176	1688275	0.293302927544387	Lactobacillus jensenii 269-3
G000018665	493483	6767514	0.07291939107920575	Delftia acidovorans SPH-1
G000221565	489514	1950550	0.25096203634872216	Peptoniphilus sp. oral taxon 375 str. F0436
G001436455	487540	1610627	0.302701991212118	Lactobacillus jensenii DSM 20557
G000612605	485610	4548084	0.10677243428221643	Pantoea septica isolate FF5
G000477955	485539	2317860	0.20947727645328018	Corynebacterium sp. KPL1989 Cory_sp_KPL1989_V1
G000376665	484527	3098881	0.15635547153956542	Meiothermus ruber DSM 1279 ASM37666v1
G000301035	483714	1897623	0.25490521563029117	Facklamia hominis CCUG 36813
G000477935	482363	2313371	0.20851087006796576	Corynebacterium sp. KPL1995 Cory_sp_KPL1995_V1
G000025345	479169	5322497	0.09002710569869743	Geodermatophilus obscurus DSM 43160
G001620305	470969	5502110	0.08559788880992929	Rhodococcus fascians D188 ASM162030v1
G000372405	468306	2356678	0.19871446162776588	Porphyromonas somerae DSM 23386
G001705565	467028	4282698	0.1090499493543556	Xanthomonas fragariae isolate Fap21
G000689415	466333	6162905	0.07566772487974421	Pseudomonas knackmussii B13
G000174755	463952	2667138	0.17395125411583504	Capnocytophaga gingivalis ATCC 33624
G000445105	462561	5360246	0.08629473348797798	Sphingobium lactosutens DS20
G000385925	461537	2142100	0.21546006255543626	Streptococcus cristatus AS 1.3089
G001262595	461078	6299243	0.07319577923887045	Methylobacterium sp. ARG-1 ASM126259v1
G000761485	457406	4953652	0.0923371282439703	Modestobacter caceresii KNN 45-2b
G000185885	457040	2617381	0.17461729874252163	Staphylococcus pseudintermedius HKU10-03
G000173675	456919	2997845	0.15241581869643026	Capnocytophaga sputigena ATCC 33612 Capno
G001468395	456798	4309020	0.10600971914727711	Sphingopyxis sp. H073 ASM146839v1
G000455385	454100	7029683	0.06459750745517259	Pseudomonas alcaligenes OT 69
G001606005	450800	3862244	0.11671971009599601	Brevibacterium linens BS258
G000466825	450705	2328061	0.1935967313571251	Corynebacterium pseudodiphtheriticum 090104
G000173915	448599	1916192	0.23410962993269985	Gemella haemolysans ATCC 10379
G001761345	448298	4196755	0.10682015033043388	Sphingomonas melonis TY ASM176134v1
G001580365	447612	4159643	0.10760827311382251	Kocuria turfanensis HO-9042
G001044235	446177	7379520	0.06046152053250076	Mycobacterium chlorophenolicum DSM 43826
G000688415	442561	2261008	0.195736149540382	Corynebacterium pseudodiphtheriticum DSM 44287
G001665955	441298	2366960	0.18644083550207863	Corynebacterium sp. EPI-003-04-2554_SCH2473622 ASM166595v1
G000173355	439955	1889366	0.2328585356145924	Anaerococcus hydrogenalis DSM 7454
G000463505	435921	2233640	0.19516170913844666	Streptococcus anginosus C238
G001407835	432284	1832315	0.23592231685054152	Lagierella massiliensis SIT14
G000179395	431312	3433007	0.12563679596342214	Corynebacterium variabile DSM 44702
G000613505	428124	3077999	0.13909166312269758	Prevotella oris DSM 18711 = JCM 12252
G001403775	425850	2232000	0.19079301075268817	Helcobacillus massiliensis FF11
G000368025	425377	2912642	0.14604506836061554	Acinetobacter parvus DSM 16617 = CIP 108168
G000016565	421770	5072807	0.08314331690521638	Pseudomonas mendocina ymp
G000972575	420114	2826849	0.1486156494386506	Staphylococcus cohnii subsp. cohnii 532
G000423905	416649	2165150	0.19243424243124033	Thermus antranikianii DSM 12462
G001683355	412387	3303745	0.12482410113371341	Prevotella scopos JCM 17725 W2052
G000758965	406373	3042317	0.13357352307468287	Corynebacterium freneyi DNF00450
G000321025	405529	1851340	0.21904620437088812	Peptoniphilus senegalensis JC140 type strain: JC140
G001435295	404527	3514998	0.11508598297922218	Psychrobacter sp. P11F6 ASM143529v1
G000306785	402819	5575517	0.07224782921476161	Modestobacter marinus BC501
G900103375	402454	4365123	0.09219763108622597	Pseudomonas balearica DSM 6083
G000344155	402229	4632332	0.0868307798318428	Gordonia paraffinivorans NBRC 108238
G000010425	399854	2089645	0.19135020541766665	Bifidobacterium adolescentis ATCC 15703
G000225825	399823	3191479	0.1252782800701493	Brachybacterium squillarum M-6-3
G001812395	399062	1922812	0.20754083082485444	Actinomyces sp. HMSC075B09 ASM181239v1
G000022305	398610	3796573	0.10499205467667815	Acidovorax ebreus TPSY
G000759475	397033	4327607	0.09174423647988368	Pantoea rwandensis ND04
G000312505	396458	1709677	0.23189058518070957	Fenollaria massiliensis 9401234
G001813085	395267	2064328	0.19147490127537872	Actinomyces sp. HMSC065F11 ASM181308v1
G000026105	394813	5888780	0.06704495668033107	Pseudomonas entomophila L48
G000010505	394670	2354886	0.167596223341597	Porphyromonas gingivalis ATCC 33277
G000739455	391835	2565321	0.15274306802150686	Corynebacterium imitans DSM 44264
G001814535	390211	2628118	0.1484754489714693	Actinomyces sp. HMSC065F12 ASM181453v1
G000369145	389753	3301256	0.11806203457108445	Acinetobacter lwoffii NIPH 478
G001022135	384528	6166452	0.06235806262661252	Kluyvera intermedia CAV1151
G001652565	384068	7354253	0.052223930832947955	Shinella sp. HZN7 ASM165256v1
G000007865	379812	4829781	0.07863959049074896	Mycobacterium avium subsp. paratuberculosis K-10
G000468855	378546	1801377	0.21014257426402136	Coriobacteriaceae bacterium BV3Ac1 CspBC3AC1v1.0
G000247895	378536	5735978	0.06599327961160241	Raoultella ornithinolytica 10-5246
G001406335	378460	3878672	0.09757463379218455	Fusicatenibacter saccharivorans 2789STDY5834885
G001457875	375983	2458350	0.15294120039864137	Actinomyces ihumii SD1
G000711965	375207	4025772	0.09320125431842638	Actinomyces israelii DSM 43320
G001878775	372439	3220005	0.11566410611163647	Acinetobacter sp. AR2-3 ASM187877v1
G001500315	371059	2201708	0.16853233943829063	Staphylococcus auricularis DSM 20609
G000735515	371015	4991160	0.07433442326032426	Leclercia adecarboxylata ATCC 23216 = NBRC 102595 ATCC 23216
G001404455	369314	3731704	0.09896658470232365	Blautia obeum 2789STDY5608838
G001546115	368171	4589403	0.08022198094174776	Paracoccus aminovorans HPD-2
G000512205	367162	6580298	0.05579716906437976	Sphingomonas sanxanigenens DSM 19645 = NX02
G000220255	367086	3127600	0.11736986826959969	Prevotella pallens ATCC 700821
G000447205	364139	4754053	0.07659548599899917	Sphingobium ummariense RL-3
G001583415	363593	5349645	0.06796581829261568	Mycobacterium phlei CCUG21000
G900104345	363139	3471800	0.10459675096491733	Microbacterium testaceum StLB037 IMG-taxon 2623620614 annotated assembly
G001597285	360739	4406305	0.08186882206293028	Pseudomonas alcaligenes NEB 585
G000285835	360699	3427329	0.10524201207412535	Brevibacterium senegalense isolate JC43
G900120415	359887	2138714	0.16827261616092662	Urmitella timonensis Marseille-P2918
G001428125	358530	3845859	0.09322494662440822	Nocardioides sp. Soil774 Soil774
G000012825	358303	5163189	0.06939567774877116	Bacteroides vulgatus ATCC 8482
G000435035	357701	2029090	0.17628641410681636	Porphyromonas sp. CAG:1061 MGS1061
G000758905	357181	1531433	0.23323318747865562	Clostridiales bacterium S5-A14a 04_NF_x40_HMP1635v01
G001866515	355844	5969261	0.05961273933238972	Massilia timonae NEU
G000236665	353437	3806980	0.09283920587972619	Dechlorosoma suillum PS
G001482365	353263	3638342	0.0970945007368741	Kocuria flava HO-9041
G000970885	350430	4441410	0.07890061939789392	Mycobacterium arupense GUC1
G900111835	349311	6344741	0.0550552024109416	Pseudomonas otitidis DSM 17224
G000763885	347478	5500748	0.06316922716692348	Paracoccus versutus DSM 582
G000146345	340207	2124844	0.16010916566110264	Peptoniphilus duerdenii ATCC BAA-1640
G000758775	339284	1955632	0.17349071809011102	Actinomyces sp. S4-C9 04_NF40_HMP1628v01
G000195995	338045	5133713	0.06584805188759091	Salmonella enterica subsp. enterica serovar Typhi str. CT18
G000239695	334998	2205725	0.15187659386369562	Actinomyces graevenitzii C83
G001314305	334763	4138297	0.08089390394164556	Stenotrophomonas acidaminiphila ZAC14D2_NAIMI4_2
G000455325	331109	6908835	0.04792544618593439	Mycobacterium septicum DSM 44393 type strain: DSM 44393
G000368925	329903	5026532	0.06563232861145617	Acinetobacter bereziniae LMG 1003 = CIP 70.12
G000160875	329761	1277649	0.2580998380619403	Lactobacillus iners DSM 13335 ASM16087v1
G000488255	327918	3211639	0.10210300721843271	Acinetobacter indicus CIP 110367
G001427705	327891	5812563	0.056410743419039074	Pelomonas sp. Root662 Root662
G000612825	327368	7966608	0.0410925201792281	Mycobacterium mageritense DSM 44476 = CIP 104973
G000661955	327273	4648976	0.0703967927560822	Stenotrophomonas rhizophila DSM 14405
G000757825	325311	4876443	0.06671071516677217	Cedecea neteri SSMD04
G000349585	324980	3927728	0.08273994533226334	Dietzia sp. UCD-THP
G000526595	324567	4252182	0.07632951741012026	Cellulosimicrobium cellulans J36
G001314325	323029	5748623	0.056192413383170194	Sphingopyxis macrogoltabida 203
G000332975	322904	5092029	0.0634136215642134	Gordonia aichiensis NBRC 108223
G001746855	320585	2141493	0.1497016333931514	Actinomyces hongkongensis HKU8
G000173895	319520	1872773	0.17061330978180483	Neisseria cinerea ATCC 14685
G001463885	318987	4187548	0.07617512682839696	Aureimonas altamirensis DSM 21988 ASM146388v1
